OBJECTID,Leg_Name,LegB_Name,Active_ind,In_Effect_Desc,Shape.STLength()
196,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,5408.645056000044
197,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,18592.234803510233
198,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,3962.6405480639946
199,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,18301.321297994313
200,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,11876.03829532219
201,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,11156.826149928058
202,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,91161.82919532697
203,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,56101.685671853054
204,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,5336.046627768285
205,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,5441.369019454737
206,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,5942.704573171101
207,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,5248.308451752112
208,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,5352.203902671449
209,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,7998.8070312439995
210,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,38726.18343244476
211,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,5608.516633724087
212,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,7263.590408729178
213,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,642.1278872134163
214,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,7166.383422190508
215,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,42511.387096104496
216,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,57730.33197842117
217,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,7313.901505715992
218,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,66261.25750273289
219,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,69869.88293575667
220,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,5315.942701496492
221,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,3320.2223501043004
222,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,1324.9634933257391
223,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,2682.2113472144347
224,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,4095.762195103595
225,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,4386.313094926056
226,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,106467.93107036623
227,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,5069.184821063865
