BlockName,Category,CreatedOn,Crop,DistrictName,KCCCallID,KccAns,QueryText,QueryType,Season,Sector,StateName,day,month,year
SHIGGAON,Pulses,2022-07-03T09:53:28.313,"Khesari (chickling vetch/ grass pea)",HAVERI,1805495,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಇಂದು ಮಳೆಯಾಗುವ ಸಾಧ್ಯತೆ ಇದೆ 50 %. ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗೆ ವರುಣ ಮಿತ್ರ 08067735999 or 9243345433 ಸಂಪರ್ಕಿಸಬಹುದು.
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,3,7,2022
BIJAPUR,Millets,2022-07-03T09:55:48.993,"Maize (Makka)",BIJAPUR,1805151,"Suggested to Spray 17:17:17 @ 5 g/ltr of water + Samruddi  @ 5 g/ltr of water
","Asked about Nutrient management in Maize
","Nutrient Management",NA,AGRICULTURE,KARNATAKA,3,7,2022
GOKAK,Flowers,2022-07-03T10:01:40.29,Chrysanthemum,BELGAUM,1805290," ಉಪ ಕೃಷಿ ನಿರ್ದೇಶಕರು (ಯೋಜನೆ) 8277929823  08022074156 08022074114 ಉಪ ಕೃಷಿ ನಿರ್ದೇಶಕರು (ಇ-ಆಡಳಿತ,ರೈ.ಸಂ.ಕೇಂದ್ರ ಮತ್ತು ತರಬೇತಿ, ಪಿಎಂ - ಕಿಸಾನ್ ಮತ್ತು ರಾಷ್ಟ್ರೀಯ ಕೃಷಿ ವಿಕಾಸ ಯೋಜನಾ  ) 8277929824  08022074138  08022074163  08022074132  08022074161 
","Asked about PM Kisan samman nidhi Yojana 
","Government Schemes",NA,HORTICULTURE,KARNATAKA,3,7,2022
GOKAK,Flowers,2022-07-03T10:01:40.477,Chrysanthemum,BELGAUM,1805289," ಉಪ ಕೃಷಿ ನಿರ್ದೇಶಕರು (ಯೋಜನೆ) 8277929823  08022074156 08022074114 ಉಪ ಕೃಷಿ ನಿರ್ದೇಶಕರು (ಇ-ಆಡಳಿತ,ರೈ.ಸಂ.ಕೇಂದ್ರ ಮತ್ತು ತರಬೇತಿ, ಪಿಎಂ - ಕಿಸಾನ್ ಮತ್ತು ರಾಷ್ಟ್ರೀಯ ಕೃಷಿ ವಿಕಾಸ ಯೋಜನಾ  ) 8277929824  08022074138  08022074163  08022074132  08022074161 
","Asked about PM Kisan samman nidhi Yojana 
","Government Schemes",NA,HORTICULTURE,KARNATAKA,3,7,2022
GOKAK,Flowers,2022-07-03T10:01:45.203,Chrysanthemum,BELGAUM,1805292," ಉಪ ಕೃಷಿ ನಿರ್ದೇಶಕರು (ಯೋಜನೆ) 8277929823  08022074156 08022074114 ಉಪ ಕೃಷಿ ನಿರ್ದೇಶಕರು (ಇ-ಆಡಳಿತ,ರೈ.ಸಂ.ಕೇಂದ್ರ ಮತ್ತು ತರಬೇತಿ, ಪಿಎಂ - ಕಿಸಾನ್ ಮತ್ತು ರಾಷ್ಟ್ರೀಯ ಕೃಷಿ ವಿಕಾಸ ಯೋಜನಾ  ) 8277929824  08022074138  08022074163  08022074132  08022074161 
","Asked about PM Kisan samman nidhi Yojana 
","Government Schemes",NA,HORTICULTURE,KARNATAKA,3,7,2022
GOKAK,Flowers,2022-07-03T10:01:48.603,Chrysanthemum,BELGAUM,1805294," ಉಪ ಕೃಷಿ ನಿರ್ದೇಶಕರು (ಯೋಜನೆ) 8277929823  08022074156 08022074114 ಉಪ ಕೃಷಿ ನಿರ್ದೇಶಕರು (ಇ-ಆಡಳಿತ,ರೈ.ಸಂ.ಕೇಂದ್ರ ಮತ್ತು ತರಬೇತಿ, ಪಿಎಂ - ಕಿಸಾನ್ ಮತ್ತು ರಾಷ್ಟ್ರೀಯ ಕೃಷಿ ವಿಕಾಸ ಯೋಜನಾ  ) 8277929824  08022074138  08022074163  08022074132  08022074161 
","Asked about PM Kisan samman nidhi Yojana 
","Government Schemes",NA,HORTICULTURE,KARNATAKA,3,7,2022
SINDAGI,Flowers,2022-07-03T10:07:54.143,Chrysanthemum,BIJAPUR,1805296," ಉಪ ಕೃಷಿ ನಿರ್ದೇಶಕರು (ಯೋಜನೆ) 8277929823  08022074156 08022074114 ಉಪ ಕೃಷಿ ನಿರ್ದೇಶಕರು (ಇ-ಆಡಳಿತ,ರೈ.ಸಂ.ಕೇಂದ್ರ ಮತ್ತು ತರಬೇತಿ, ಪಿಎಂ - ಕಿಸಾನ್ ಮತ್ತು ರಾಷ್ಟ್ರೀಯ ಕೃಷಿ ವಿಕಾಸ ಯೋಜನಾ  ) 8277929824  08022074138  08022074163  08022074132  08022074161 
","Asked about PM Kisan samman nidhi Yojana 
","Government Schemes",NA,HORTICULTURE,KARNATAKA,3,7,2022
SINDAGI,Flowers,2022-07-03T10:07:57.763,Chrysanthemum,BIJAPUR,1805298," ಉಪ ಕೃಷಿ ನಿರ್ದೇಶಕರು (ಯೋಜನೆ) 8277929823  08022074156 08022074114 ಉಪ ಕೃಷಿ ನಿರ್ದೇಶಕರು (ಇ-ಆಡಳಿತ,ರೈ.ಸಂ.ಕೇಂದ್ರ ಮತ್ತು ತರಬೇತಿ, ಪಿಎಂ - ಕಿಸಾನ್ ಮತ್ತು ರಾಷ್ಟ್ರೀಯ ಕೃಷಿ ವಿಕಾಸ ಯೋಜನಾ  ) 8277929824  08022074138  08022074163  08022074132  08022074161 
","Asked about PM Kisan samman nidhi Yojana 
","Government Schemes",NA,HORTICULTURE,KARNATAKA,3,7,2022
SINDAGI,Flowers,2022-07-03T10:07:57.92,Chrysanthemum,BIJAPUR,1805299," ಉಪ ಕೃಷಿ ನಿರ್ದೇಶಕರು (ಯೋಜನೆ) 8277929823  08022074156 08022074114 ಉಪ ಕೃಷಿ ನಿರ್ದೇಶಕರು (ಇ-ಆಡಳಿತ,ರೈ.ಸಂ.ಕೇಂದ್ರ ಮತ್ತು ತರಬೇತಿ, ಪಿಎಂ - ಕಿಸಾನ್ ಮತ್ತು ರಾಷ್ಟ್ರೀಯ ಕೃಷಿ ವಿಕಾಸ ಯೋಜನಾ  ) 8277929824  08022074138  08022074163  08022074132  08022074161 
","Asked about PM Kisan samman nidhi Yojana 
","Government Schemes",NA,HORTICULTURE,KARNATAKA,3,7,2022
SINDAGI,Flowers,2022-07-03T10:07:58.107,Chrysanthemum,BIJAPUR,1805300," ಉಪ ಕೃಷಿ ನಿರ್ದೇಶಕರು (ಯೋಜನೆ) 8277929823  08022074156 08022074114 ಉಪ ಕೃಷಿ ನಿರ್ದೇಶಕರು (ಇ-ಆಡಳಿತ,ರೈ.ಸಂ.ಕೇಂದ್ರ ಮತ್ತು ತರಬೇತಿ, ಪಿಎಂ - ಕಿಸಾನ್ ಮತ್ತು ರಾಷ್ಟ್ರೀಯ ಕೃಷಿ ವಿಕಾಸ ಯೋಜನಾ  ) 8277929824  08022074138  08022074163  08022074132  08022074161 
","Asked about PM Kisan samman nidhi Yojana 
","Government Schemes",NA,HORTICULTURE,KARNATAKA,3,7,2022
